Year	State	松山機場	中山國中	南京復興	忠孝復興	大安	科技大樓	六張犁	麟光	辛亥	萬芳醫院	萬芳社區	木柵	動物園	大直	劍南路	西湖	港墘	文德	內湖	大湖公園	葫洲	東湖	南港軟體園區	南港展覽館	小碧潭	新店	新店區公所	七張	大坪林	景美	萬隆	公館	台電大樓	古亭	中正紀念堂	小南門	頂溪	永安市場	景安	南勢角	台大醫院	台北車站	中山	雙連	民權西路	圓山	劍潭	士林	芝山	明德	石牌	唭哩岸	奇岩	北投	新北投	復興崗	忠義	關渡	竹圍	紅樹林	淡水	頂埔	永寧	土城	海山	亞東醫院	府中	板橋	新埔	江子翠	龍山寺	西門	善導寺	忠孝新生	忠孝敦化	國父紀念館	市政府	永春	後山埤	昆陽	南港	象山	台北101/世貿	信義安和	大安森林公園	北門	松江南京	台北小巨蛋	南京三民	松山	輔大	新莊	頭前庄	先嗇宮	三重	菜寮	台北橋	大橋頭	中山國小	行天宮	東門	蘆洲	三民高中	徐匯中學	三和國中	三重國小	迴龍	丹鳳
2017	21	9149	22939	52406	119106	39318	21003	19113	8311	5551	19719	4090	6038	14608	14604	28760	13333	16406	10770	16150	5850	13193	14827	4070	43371	6448	23231	20076	28993	34849	30181	17814	61065	42050	57996	59356	10522	69457	48331	44186	39182	30116	343123	89369	44149	41958	55486	77544	53763	44274	20790	52861	12884	13572	32204	16977	6624	3611	17837	17293	11548	70740	13610	21047	13475	39863	31236	62134	81136	70153	46178	59670	177196	32945	68331	87583	43832	123658	34552	31895	19974	27003	18079	99183	29553	20089	24795	48710	41741	36949	41738	15982	23183	9757	5946	8919	16844	20146	28494	29165	45469	51677	22346	24318	24532	21242	22423	17087	17381
2017	22	8699	20666	39912	102633	29055	18871	15951	7540	4867	16245	3529	5638	17930	12728	23794	11648	13273	7780	13847	6648	11192	12905	4390	61269	4489	22842	17843	25472	30257	29326	17044	68484	38212	45739	67359	10771	62172	43648	38558	35461	35599	337419	79149	35229	38069	51779	69566	49400	45213	15841	43444	11190	11974	28571	16308	5518	3014	15394	14922	10996	73518	12978	19902	12121	35052	26825	55032	75944	62292	40654	55722	172365	29529	61635	72896	35815	108843	29875	29053	18197	27787	17929	91652	24190	23328	22414	34506	23700	30853	34456	14293	18806	8371	5023	7413	14792	17325	26354	24953	38703	48178	19191	19781	20942	18539	19827	15295	15501
2017	23	11949	33125	81818	110084	47907	29272	24275	8638	7619	27086	4715	7373	11562	17124	25370	34721	30115	10269	17180	6299	16222	16550	10001	56634	4370	23995	23285	34145	43386	30866	19818	57857	40293	68347	66316	16860	75544	54437	52257	43562	53056	328425	81799	51042	49717	52707	66146	54123	49025	25248	63852	15794	18930	36034	13807	7028	5831	23148	18813	13611	66904	17266	24786	14952	43199	41712	62965	82928	82730	54750	59301	157212	42296	68865	87258	50074	129415	40171	35836	30333	30853	22217	86997	36525	16959	22440	82887	43914	48602	48788	16749	22498	10500	9207	9348	19666	20425	27762	35033	59539	49993	25108	24937	24792	24288	23952	18717	18935
2017	24	11341	34858	84727	114549	48960	29819	25057	8655	7770	26464	5010	7447	15844	17756	24432	35505	31014	10367	17530	6293	16223	16526	10284	57894	4446	22831	24157	34789	44613	31395	20233	57719	42270	69423	71588	17335	76765	56123	52921	44383	53257	325575	85171	51122	50011	53147	66522	58664	50254	25358	64225	15893	19122	36996	14950	7181	5734	23304	19212	14162	66075	17897	25361	14716	43611	41741	64135	84423	82897	54993	59322	156594	41482	69763	90989	50835	134580	42346	36179	30962	31951	22969	83452	37349	18281	22710	82244	45814	50473	49066	16487	23069	10743	9278	9502	19656	20614	27799	34887	60044	52332	25418	25429	24744	24280	24417	19117	18830
2017	25	11914	33651	80954	114951	46981	28773	24112	8559	7769	25614	4658	7184	11954	16283	26363	34955	30435	9954	17463	6383	15633	16339	10110	56796	4366	22381	23432	34835	43562	30658	20142	56059	39850	66440	69493	16044	75550	55201	52327	43905	50589	319753	85181	50610	48998	51355	63032	54409	50239	24716	61729	15812	18813	37254	12971	6936	5923	22174	18709	13493	62115	17721	25035	15162	42527	40449	62728	83756	82772	54545	57531	152898	41784	67668	91392	49613	129690	42273	35150	30630	32735	21547	56666	37029	17762	22509	79139	42870	49284	47130	15093	22055	10566	9142	9009	18608	20290	25996	33776	59587	50822	24589	24871	24690	24096	23926	18200	18031
2017	26	11699	28138	67104	107823	36812	22505	20288	7851	5385	21014	3916	5873	10777	13322	21605	28563	26170	8246	15348	5798	13677	14474	8323	50701	4000	19837	20118	29575	36227	27458	17765	46168	33897	51752	59866	13112	67296	47904	45457	40620	39233	298842	75640	42440	41079	43426	57652	45944	45497	20239	51220	14190	16320	32348	10425	6098	4858	19174	16729	12023	57136	15700	21248	13396	38193	34106	54303	80673	73358	48886	52990	141800	31838	56657	81999	41306	120473	37162	32999	26743	33982	18939	49808	31002	16401	19727	66047	34360	40949	41697	11965	18865	8552	7884	8013	15996	18756	23548	28958	50494	44793	21817	22103	21635	20999	21421	15688	15606
2017	27	6483	8933	18278	41491	11951	7776	7867	5019	2338	8423	1811	2618	3711	5321	10394	4745	5244	3687	7171	2763	4994	5853	1797	16603	2071	11282	9788	13338	15161	13164	9313	15925	12264	18762	23874	3166	32203	21597	20333	20738	7569	158247	26229	15079	14095	19493	29138	21740	19601	9225	21489	6689	6094	15575	6931	3390	1640	8048	8866	7008	37593	7142	9767	7019	17845	12484	21340	37187	28656	20125	32950	62309	11706	16454	23078	11636	43556	16492	15338	8689	15325	8631	24318	11459	10771	6457	14208	9388	14787	15927	5235	8086	3777	2576	3491	7212	9483	10186	12814	17351	19774	8476	9606	10157	9589	10925	8164	7327
2017	28	6758	11998	21695	68953	13739	8794	9639	5827	2963	10229	3502	5242	37122	5435	17720	4840	5698	4965	9339	7371	6304	8145	2470	20769	3073	32271	14388	18581	19376	17232	10859	26664	15874	21670	29082	4673	43323	29695	28039	32394	9781	229100	46555	24219	23325	52127	69132	42390	27629	11175	28558	9848	15084	22730	16571	5782	5854	41725	13074	11004	131255	11194	17598	10689	26715	17919	40753	59383	42706	27984	118281	137167	11175	30212	35963	18699	87192	15997	22066	11101	20581	17427	48268	14643	12837	9563	19087	13786	17173	42737	7754	14360	5924	3783	5897	10873	13483	13856	14214	75224	24500	13311	18291	14173	14636	16002	11716	11018
2017	29	8082	12534	24938	69057	16147	9308	10577	5767	3409	11073	3013	6023	39327	6222	17534	5839	6685	5460	10543	7783	7103	8439	3003	24061	3913	34332	15625	19323	20903	19192	11902	29285	18763	23919	39041	4753	47046	31465	30574	34216	11509	271160	47314	23249	27016	50400	72488	45383	30818	12411	32320	10091	12920	25179	19139	5244	3873	29323	13393	10741	137139	12149	18156	10591	27255	19087	40149	63657	42159	29354	76524	132814	12332	32557	38667	23553	84530	18747	22913	12908	22864	17547	50290	16449	13553	9636	21474	13592	18904	38646	8959	14423	5715	3672	5829	11070	14318	14868	16211	39486	29801	14461	17212	16737	15311	17532	13691	11532
2017	30	7819	13822	28587	85832	16718	10005	10268	5488	3047	11018	2551	5408	31313	6513	19751	6269	7422	5386	10361	5557	7139	8281	3288	22730	3182	26685	14025	18316	19949	18259	11597	32600	20037	24337	37019	5000	45717	30886	29413	31790	11837	296004	57558	25455	25624	47544	72533	46003	31301	12178	33388	9263	12036	25559	21984	5546	3686	26451	12880	10364	110900	10952	18228	10265	26402	19099	41994	69411	44078	29597	76842	161409	12657	42454	53112	27882	101855	18572	22754	12609	24690	13950	56574	16865	10865	10915	23822	16129	21112	38238	8700	14302	6298	3869	5964	11085	15771	15746	17594	38917	31854	15174	17459	16853	15550	16938	12258	11757
2017	31	8338	15620	32194	90161	19487	11689	12085	5885	3591	14013	3549	6443	35494	8068	21537	7134	9352	6423	11773	6946	8556	10265	3950	27191	3717	32366	17005	21937	25403	21625	13454	38052	23543	28380	38595	6339	51982	34816	34002	35872	15923	299804	62304	28419	27684	55808	77757	51149	35129	13787	38525	10750	12318	28789	24498	5907	4909	30424	14920	11692	123655	12440	20027	11377	30537	24137	47212	73767	50751	34194	81362	171346	14821	48164	59177	30445	106640	21517	25615	14113	27133	17831	53531	19819	12801	11753	28303	18752	23662	42277	9775	16159	6952	4032	6198	12055	16964	17355	19333	43828	33918	16841	19193	18532	17114	18680	13777	12935
